"Group","ID","Day0","Day2","Day4","Day6","Day9","Day12","Day28"
"SAT1",2,0,3.32,5.87,5.79,0,0,0
"SAT1",4,0,2.74,5.55,4.84,0,0,0
"SAT1",19,0,4.41,5.51,4.03,0,0,0
"SAT1",33,0,4.1,8.39,3.72,0,0,0
"SAT2",5,0,2.5,2.38,0,0,0,0
"SAT2",9,0,0,5.64,4.8,0,0,0
"SAT2",22,0,0,3.08,4.55,0,0,0
"SAT2",29,0,0,3.71,0,0,0,0
"SAT3",12,0,0,0,5.37,5.59,0,0
"SAT3",15,0,0,0,0,0,5.42,0
"SAT3",16,0,0,2.38,6.2,0,0,0
"SAT3",17,0,0,6.22,5.19,0,0,0
