Type,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
Needle SAT1 Hapto,SAT1,0.1280385,8.508327,2.899545,0.3885799,2.982064,4.367991,0.01549811,0.01472922,8.341923,2.7625,24.58362
Needle SAT1 Hapto,SAT1,0.1635253,9.523703,2.592154,0.39824,2.484486,3.50673,0.01338202,0.01350467,9.259306,3.1775,24.6985
Needle SAT1 Hapto,SAT1,0.1664677,8.089359,2.831305,0.3767932,2.417427,4.242705,0.01546867,0.01637142,7.978904,2.8225,25.32668
Needle SAT1 Hapto,SAT1,0.1894906,8.613184,2.715422,0.3795572,2.246899,3.938865,0.01460729,0.01460281,8.478044,2.97,25.615
Needle SAT1 Hapto,SAT1,0.1737307,9.861231,2.509199,0.3685321,2.460859,3.696603,0.01662862,0.01511693,9.664006,3.055,25.92501
Needle SAT1 Hapto,SAT1,0.1920042,9.959963,2.658772,0.3828957,2.337745,3.510324,0.01592156,0.01515275,9.693531,3.1325,24.87547
Needle SAT1 Hapto,SAT1,0.1544998,9.543915,2.787555,0.3684289,2.703408,4.178341,0.01602666,0.01533978,9.32752,2.855,26.03928
Needle SAT1 Hapto,SAT1,0.1704204,10.47545,2.523052,0.3474569,2.616368,3.619636,0.01520329,0.01526367,10.23669,3.1175,27.89831
Needle SAT1 Hapto,SAT1,0.1462789,8.991143,2.655149,0.3630223,2.768452,4.049404,0.0141135,0.01484835,8.86773,2.9375,26.32847
Needle SAT1 Hapto,SAT1,0.1643662,9.280017,2.720663,0.3452297,2.662847,4.170637,0.0177676,0.01760533,9.164805,2.8425,27.09768
Needle SAT1 Hapto,SAT1,0.1539962,10.00011,2.593918,0.3469393,2.593094,3.72808,0.020263,0.01842091,9.803946,3.0025,26.89813
Needle SAT1 Hapto,SAT1,0.138159,8.601445,2.718178,0.3567534,2.755214,4.372303,0.01506382,0.01571909,8.482394,2.77,26.2692
Needle SAT1 Hapto,SAT1,0.1633975,8.754753,2.761461,0.3854414,2.475272,4.05574,0.0129481,0.01343467,8.590341,2.97,24.71516
Needle SAT1 Hapto,SAT1,0.1345984,9.082077,2.850022,0.3715831,2.821203,4.166562,0.01738058,0.01651335,8.900279,2.8125,25.22762
Needle SAT1 Hapto,SAT1,0.140926,8.466688,2.874211,0.352815,2.692624,5.195147,0.01605233,0.01701356,8.338001,2.465,27.19439
Needle SAT1 Hapto,SAT1,0.1418615,9.745694,2.654927,0.3410419,2.837741,4.334827,0.01762802,0.01682774,9.577444,2.78,27.9221
Needle SAT1 Hapto,SAT1,0.1427704,9.285786,2.745977,0.3461879,2.867042,4.08196,0.01488772,0.01534495,9.090238,2.9375,26.70372
Needle SAT1 Hapto,SAT1,0.1390543,8.915382,2.641565,0.3844097,2.776013,3.896484,0.0173158,0.0157417,8.731889,2.945,24.05754
Needle SAT1 Hapto,SAT1,0.1258239,9.062708,2.80956,0.348688,2.850113,4.693322,0.01491031,0.01488031,8.929638,2.69,28.02793
Needle SAT1 Hapto,SAT1,0.1718121,9.621074,2.507269,0.3850509,2.605831,3.564273,0.01475786,0.01454714,9.402833,3.125,25.29234
Needle SAT1 Hapto,SAT1,0.1423807,8.712224,2.759555,0.3551658,2.620576,4.771261,0.01683238,0.01757013,8.578179,2.6125,27.11443
Needle SAT1 Hapto,SAT1,0.1729719,9.530674,2.913259,0.3507142,2.454805,4.490546,0.01753896,0.01765193,9.373733,2.7025,27.58247
Needle SAT1 Hapto,SAT1,0.1235759,9.027711,2.558798,0.3828474,2.980467,3.76523,0.01446916,0.01493351,8.798597,3.0225,24.24426
Needle SAT1 Hapto,SAT1,0.1263619,8.187087,2.712052,0.4088184,2.875152,4.096302,0.01403038,0.01477818,8.006784,2.8675,23.15004
Needle SAT1 Hapto,SAT1,0.1565547,8.480703,2.753914,0.3302545,2.528383,4.762421,0.01744551,0.01745115,8.411553,2.6375,28.36481
Needle SAT1 Hapto,SAT1,0.1428825,9.278865,2.947545,0.3524961,2.75571,4.523975,0.01757872,0.01762521,9.112827,2.6825,27.30925
Needle SAT1 Hapto,SAT1,0.1315612,8.929874,2.497238,0.3773225,2.701252,3.653342,0.01558185,0.01479957,8.756673,3.1175,25.45366
Needle SAT1 Hapto,SAT1,0.169715,9.464385,2.474721,0.3840606,2.42517,3.709578,0.01570423,0.01571865,9.294845,3.0575,26.10928
Needle SAT1 Hapto,SAT1,0.1583337,10.2383,2.558896,0.3451528,2.604827,3.558708,0.01643622,0.01569645,9.986757,3.1475,27.63837
Needle SAT1 Hapto,SAT1,0.159673,10.4825,2.584455,0.349645,2.57099,3.59201,0.01668332,0.01516666,10.26511,3.1325,27.8974
Needle SAT1 Hapto,SAT1,0.1934893,9.947116,2.58612,0.3683343,2.272461,3.548781,0.01489252,0.01485524,9.719429,3.15,26.38921
Needle SAT1 Hapto,SAT1,0.1497621,8.537032,2.695516,0.3764698,2.835671,4.426813,0.01632676,0.01640745,8.399135,2.7125,25.34747
Needle SAT1 Hapto,SAT1,0.1587566,8.481267,2.684326,0.4125168,2.677475,3.878207,0.01516967,0.01514462,8.311811,2.935,22.99715
