Type,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
Needle SAT1 Hapto,SAT1,0.1904676,9.565334,2.593323,0.3561363,2.313954,3.875546,0.01851074,0.01882231,9.426878,2.9325,27.2278
Needle SAT1 Hapto,SAT1,0.1063408,8.996653,2.900719,0.3309763,3.169903,4.417976,0.01538521,0.01630958,8.870141,2.745,27.47067
Needle SAT1 Hapto,SAT1,0.1401595,8.447736,2.741491,0.3799026,2.731704,4.657484,0.0173392,0.01647343,8.295991,2.6525,25.19221
Needle SAT1 Hapto,SAT1,0.1624212,9.699427,2.617564,0.3610079,2.494394,3.772607,0.01744417,0.01585834,9.535675,3.015,26.67547
Needle SAT1 Hapto,SAT1,0.1295087,10.0705,2.644311,0.3619073,3.014398,3.882507,0.01700121,0.01545565,9.787828,2.9475,26.05321
Needle SAT1 Hapto,SAT1,0.125308,9.349493,2.688731,0.3402548,2.908315,4.031977,0.0170185,0.01712446,9.228272,2.93,28.27888
Needle SAT1 Hapto,SAT1,0.1586619,8.574223,2.78924,0.3704501,2.6142,4.309666,0.0169725,0.01699698,8.475973,2.7525,25.49193
Needle SAT1 Hapto,SAT1,0.1685009,8.618774,2.824374,0.3823295,2.401214,4.778412,0.01555223,0.01626334,8.463661,2.6325,25.39175
Needle SAT1 Hapto,SAT1,0.1459933,9.098039,2.719216,0.3594049,2.756947,4.045939,0.01674131,0.01595949,8.983608,2.9025,26.52104
Needle SAT1 Hapto,SAT1,0.1772691,9.358632,2.791563,0.3365579,2.363924,4.538369,0.01618311,0.01687443,9.218124,2.72,28.5637
Needle SAT1 Hapto,SAT1,0.1577062,8.802779,2.758244,0.3645847,2.694579,4.469235,0.01699149,0.01627567,8.683781,2.7125,26.76648
Needle SAT1 Hapto,SAT1,0.2095935,10.10456,2.651946,0.3612931,2.182614,3.96254,0.01666846,0.0159222,9.863423,2.955,27.08069
Needle SAT1 Hapto,SAT1,0.1599505,9.954006,2.6727,0.3571754,2.670872,4.139313,0.01689069,0.01535517,9.714095,2.8625,26.62741
Needle SAT1 Hapto,SAT1,0.1609889,9.69782,2.729235,0.3716093,2.71072,3.633514,0.01541665,0.01534197,9.481266,3.0675,25.26265
Needle SAT1 Hapto,SAT1,0.1493223,9.656972,2.561703,0.3564872,2.700778,3.818277,0.01813916,0.01734221,9.449629,2.9725,26.34865
Needle SAT1 Hapto,SAT1,0.1514511,9.907437,2.778343,0.3739133,2.629474,3.579,0.01734426,0.01576751,9.635466,3.075,24.81061
Needle SAT1 Hapto,SAT1,0.1382533,9.127447,2.702196,0.3429076,2.567883,4.324033,0.01634998,0.01642611,9.000261,2.83,27.24187
Needle SAT1 Hapto,SAT1,0.1642489,9.805014,2.75286,0.376035,2.558325,3.705683,0.01669461,0.01517692,9.554497,3.0125,24.9629
Needle SAT1 Hapto,SAT1,0.1740361,8.6991,2.660825,0.379759,2.414101,4.13251,0.01662635,0.01668397,8.594079,2.8725,25.60301
Needle SAT1 Hapto,SAT1,0.1412699,9.107597,2.642925,0.3824228,2.73116,3.783487,0.01540903,0.01534756,8.919352,2.99,24.6538
Needle SAT1 Hapto,SAT1,0.1328198,9.659154,2.596565,0.374621,2.911959,3.608374,0.01427988,0.01489974,9.434549,3.08,25.26313
Needle SAT1 Hapto,SAT1,0.1606215,8.143483,2.821204,0.3767945,2.411983,4.340267,0.01683315,0.01603387,8.052924,2.765,25.00497
Needle SAT1 Hapto,SAT1,0.1581927,9.290563,2.491192,0.3793296,2.616122,3.771049,0.01658555,0.01581184,9.1078,3.0125,24.86632
Needle SAT1 Hapto,SAT1,0.1219778,8.40362,2.514078,0.3998468,2.825736,4.031367,0.01735316,0.0157756,8.211474,2.895,23.91451
Needle SAT1 Hapto,SAT1,0.1592347,9.365369,2.831758,0.3482046,2.755002,4.404766,0.01749959,0.01675867,9.188189,2.77,26.85697
Needle SAT1 Hapto,SAT1,0.1591247,8.47158,2.818198,0.3971214,2.572614,4.568728,0.01405393,0.01456312,8.30435,2.7025,24.4454
Needle SAT1 Hapto,SAT1,0.1660042,9.371196,2.673512,0.3431702,2.473761,4.307196,0.01659497,0.0172656,9.211786,2.8225,27.72405
Needle SAT1 Hapto,SAT1,0.1575866,9.1805,2.770024,0.3468768,2.687088,4.461533,0.01878798,0.01707998,9.037289,2.725,26.75664
Needle SAT1 Hapto,SAT1,0.1459315,10.22721,2.640241,0.3541593,2.774666,3.643216,0.01510365,0.01575487,9.972307,3.06,26.57588
Needle SAT1 Hapto,SAT1,0.1754899,7.260624,2.728092,0.3959203,2.31302,4.687365,0.01519955,0.01626298,7.218117,2.645,24.11754
Needle SAT1 Hapto,SAT1,0.1313581,9.806078,2.5961,0.3510221,2.88445,3.789444,0.01681439,0.01615607,9.598745,3,26.73927
Needle SAT1 Hapto,SAT1,0.1218681,8.752319,2.887673,0.3634834,2.96643,4.529396,0.0164827,0.01681616,8.594986,2.6775,25.17146
Needle SAT1 Hapto,SAT1,0.111829,9.260073,2.626051,0.3496194,3.04883,4.111029,0.015284,0.01603294,9.093503,2.8775,26.51585
Needle SAT1 Hapto,SAT1,0.1550081,8.433679,2.585335,0.3645489,2.494928,4.207244,0.01522006,0.01590605,8.314265,2.8975,26.84115
Needle SAT1 Hapto,SAT1,0.1338427,8.945846,2.692903,0.3855376,2.867723,3.795449,0.01463348,0.01463506,8.76478,3.0125,24.55902
Needle SAT1 Hapto,SAT1,0.1410064,9.22748,2.796346,0.3350682,2.699512,4.450533,0.01724931,0.01727837,9.097332,2.775,28.23645
Needle SAT1 Hapto,SAT1,0.1564417,8.604027,2.734301,0.3628445,2.529109,4.391819,0.01446426,0.0152867,8.476909,2.805,26.03208
Needle SAT1 Hapto,SAT1,0.1734133,8.603254,2.487244,0.4079996,2.447674,3.71163,0.01478881,0.01414976,8.439488,3.0825,23.80934
Needle SAT1 Hapto,SAT1,0.1315405,8.815609,2.679378,0.3696605,2.725746,4.207637,0.01451596,0.01465334,8.653617,2.845,25.96718
Needle SAT1 Hapto,SAT1,0.1592405,10.12675,2.595215,0.3388924,2.762783,3.74412,0.01645502,0.01645571,9.921033,3.0225,27.78179
Needle SAT1 Hapto,SAT1,0.1797142,8.884689,2.954521,0.3770452,2.300199,4.606157,0.01750336,0.01684911,8.763392,2.635,25.55638
Needle SAT1 Hapto,SAT1,0.1498331,7.916506,2.693335,0.3456662,2.483594,4.820265,0.01391729,0.01483681,7.86961,2.71,27.50612
Needle SAT1 Hapto,SAT1,0.1441074,8.593054,2.906418,0.3852587,2.731718,4.420747,0.01395533,0.01481715,8.400907,2.755,24.73248
Needle SAT1 Hapto,SAT1,0.1471558,8.255527,2.819346,0.380015,2.832712,4.49221,0.016714,0.01666119,8.153007,2.6775,24.99732
Needle SAT1 Hapto,SAT1,0.1352252,9.56383,2.716765,0.3726064,2.683987,3.536234,0.01317854,0.01464282,9.32042,3.1375,24.95387
Needle SAT1 Hapto,SAT1,0.1563686,9.020314,2.718039,0.3813611,2.515462,3.934949,0.01562353,0.01543001,8.854765,2.9175,25.05465
Needle SAT1 Hapto,SAT1,0.155396,9.144439,2.73603,0.3815925,2.64768,4.207148,0.01616945,0.01602967,8.940909,2.8375,25.18059
Needle SAT1 Hapto,SAT1,0.1408297,9.902589,2.751615,0.3392337,2.7045,4.052336,0.01669593,0.01738615,9.731958,2.8675,28.63985
Needle SAT1 Hapto,SAT1,0.1394955,10.15992,2.645559,0.3570168,2.879972,3.644906,0.01761641,0.017043,9.896946,3.03,26.53954
Needle SAT1 Hapto,SAT1,0.1618879,9.518102,2.865171,0.3823817,2.553374,4.050131,0.01656415,0.01573705,9.275024,2.87,24.46948
Needle SAT1 Hapto,SAT1,0.168756,8.935743,2.70505,0.3964758,2.481094,3.713734,0.01512634,0.01579591,8.752141,3.01,24.0349
Needle SAT1 Hapto,SAT1,0.1631823,8.965189,2.729409,0.3912704,2.554024,3.93742,0.01563657,0.01575588,8.78973,2.9375,25.22687
Needle SAT1 Hapto,SAT1,0.141176,10.34512,2.826366,0.3519669,2.8862,4.048388,0.01665155,0.01558701,10.05161,2.94,27.56051
Needle SAT1 Hapto,SAT1,0.1611019,9.44497,2.791324,0.3646931,2.59443,4.213717,0.01592274,0.01588479,9.245364,2.8425,26.35832
Needle SAT1 Hapto,SAT1,0.1541513,9.322861,2.799148,0.3650043,2.772754,4.119961,0.01733179,0.01645831,9.140302,2.845,25.66545
Needle SAT1 Hapto,SAT1,0.1507938,10.02029,2.736515,0.3436373,2.562574,4.005189,0.01923529,0.01748663,9.831169,2.885,27.55485
Needle SAT1 Hapto,SAT1,0.1610635,10.3882,2.581121,0.3353418,2.49952,3.789727,0.01797617,0.01781617,10.20356,3.0025,28.38116
Needle SAT1 Hapto,SAT1,0.1647884,9.967272,2.574026,0.3543372,2.41266,3.857091,0.01653105,0.01567394,9.760002,2.9875,26.93112
Needle SAT1 Hapto,SAT1,0.1615591,8.419635,2.943669,0.3621768,2.441143,5.023674,0.01642476,0.01630737,8.306725,2.5275,26.95205
Needle SAT1 Hapto,SAT1,0.1773132,8.448081,2.784222,0.394971,2.366012,4.290932,0.01398462,0.01401807,8.273572,2.8525,24.13288
Needle SAT1 Hapto,SAT1,0.180184,7.913983,2.847365,0.4433739,2.4866,4.105956,0.01387257,0.01450293,7.76407,2.8375,22.46463
Needle SAT1 Hapto,SAT1,0.1675127,9.857233,2.68443,0.3855647,2.390261,3.67323,0.01669876,0.01518069,9.570525,3.0325,24.60788
Needle SAT1 Hapto,SAT1,0.1761453,9.584401,2.738845,0.3411743,2.391064,4.169839,0.01575656,0.01637404,9.450575,2.8825,27.87097
Needle SAT1 Hapto,SAT1,0.1656248,9.969988,2.623384,0.3639007,2.608443,3.619979,0.01536999,0.01544616,9.734173,3.08,25.69923
Needle SAT1 Hapto,SAT1,0.1411163,9.800081,2.461801,0.3673008,2.65155,3.58365,0.01418397,0.01430913,9.571721,3.1425,25.50515
Needle SAT1 Hapto,SAT1,0.1643096,9.728094,2.741122,0.3656507,2.569704,3.671384,0.01707494,0.01632818,9.503481,3.055,26.2101
Needle SAT1 Hapto,SAT1,0.1569306,9.337794,2.8521,0.372148,2.556469,4.161528,0.01727568,0.01637358,9.132646,2.8575,25.10017
Needle SAT1 Hapto,SAT1,0.1717451,8.558118,2.743403,0.3753692,2.393842,4.568489,0.01612501,0.01600559,8.420857,2.695,25.55612
Needle SAT1 Hapto,SAT1,0.1233941,8.830774,2.804653,0.3605768,2.86754,4.377598,0.01570976,0.01667023,8.698879,2.775,26.46879
Needle SAT1 Hapto,SAT1,0.144571,8.571117,2.645126,0.3776961,2.637708,3.917624,0.01407433,0.01563814,8.458713,2.96,24.79664
Needle SAT1 Hapto,SAT1,0.1561995,9.442275,2.60109,0.3764175,2.487848,3.548089,0.01492869,0.015066,9.224554,3.145,25.24627
Needle SAT1 Hapto,SAT1,0.1243198,8.534027,2.879106,0.3534816,2.865531,5.224676,0.01562967,0.01650031,8.440881,2.45,26.54152
Needle SAT1 Hapto,SAT1,0.1204171,10.51085,2.58924,0.3072401,2.964272,3.756259,0.01939373,0.01918193,10.33764,3.03,30.11053
Needle SAT1 Hapto,SAT1,0.1505253,8.881408,2.825314,0.391345,2.629163,4.060427,0.01528219,0.0148932,8.691636,2.9125,24.29177
Needle SAT1 Hapto,SAT1,0.1719561,9.017648,2.626035,0.3672531,2.501622,3.989325,0.01664822,0.01589921,8.856856,2.985,25.73622
Needle SAT1 Hapto,SAT1,0.1716793,9.287513,2.75987,0.3767136,2.429269,4.225862,0.0151138,0.01505299,9.087307,2.845,25.54054
Needle SAT1 Hapto,SAT1,0.1197354,9.2507,2.692804,0.3560437,3.044302,4.226172,0.01384983,0.01490185,9.066517,2.8525,26.16552
Needle SAT1 Hapto,SAT1,0.1429236,10.20984,2.8349,0.3405252,2.78634,3.744481,0.01793948,0.01630862,9.996998,3.0125,27.22809
Needle SAT1 Hapto,SAT1,0.1614502,9.608968,2.775766,0.3563289,2.576781,4.27756,0.01608854,0.01618169,9.411281,2.79,26.6746
Needle SAT1 Hapto,SAT1,0.1645433,9.915085,2.642096,0.3541489,2.578247,3.776888,0.01616605,0.01525982,9.700612,3.025,26.53255
Needle SAT1 Hapto,SAT1,0.1513548,8.847107,2.719838,0.3762947,2.825373,4.377044,0.01755955,0.01679892,8.697819,2.7375,25.86766
Needle SAT1 Hapto,SAT1,0.1556306,7.535016,2.700427,0.4082898,2.569548,4.424083,0.01565868,0.01641849,7.439587,2.7375,23.87596
Needle SAT1 Hapto,SAT1,0.1331058,9.321532,2.627098,0.3543381,2.736943,3.633134,0.01601889,0.01587821,9.144793,3.1025,26.32283
Needle SAT1 Hapto,SAT1,0.1518252,9.091124,2.735408,0.3500998,2.591145,4.62849,0.01795318,0.01794137,8.952822,2.66,27.17508
Needle SAT1 Hapto,SAT1,0.1375168,9.175823,2.678408,0.3590536,2.617606,4.536336,0.01558306,0.01582833,9.007868,2.7875,28.44139
Needle SAT1 Hapto,SAT1,0.1684754,10.18221,2.585811,0.3523916,2.562248,3.586023,0.01615449,0.01619185,9.956401,3.105,27.13542
Needle SAT1 Hapto,SAT1,0.1768349,8.098918,2.713727,0.3599714,2.245127,4.722167,0.01616725,0.01626535,8.011601,2.7375,26.97154
Needle SAT1 Hapto,SAT1,0.1519445,8.447331,2.901339,0.3584789,2.547418,4.595845,0.01591667,0.01678416,8.351583,2.6775,26.43511
Needle SAT1 Hapto,SAT1,0.1578997,9.275835,2.633265,0.3417996,2.567519,4.354206,0.01650435,0.016471,9.144849,2.83,27.57457
Needle SAT1 Hapto,SAT1,0.1642698,8.709787,2.709195,0.3779324,2.370553,4.107578,0.01414419,0.01423263,8.584243,2.92,25.26922
Needle SAT1 Hapto,SAT1,0.167741,9.608999,2.670287,0.3665177,2.322552,3.875453,0.01931742,0.01756129,9.413166,2.9325,26.30461
Needle SAT1 Hapto,SAT1,0.1232403,8.515297,2.802426,0.3637342,2.927849,4.283974,0.01803093,0.01716267,8.410965,2.775,25.44919
Needle SAT1 Hapto,SAT1,0.1539325,9.430918,2.634274,0.3613238,2.648043,4.295953,0.01665166,0.01610751,9.24496,2.8125,26.14049
Needle SAT1 Hapto,SAT1,0.1418767,9.581868,2.549321,0.3552479,2.675507,3.727123,0.01502679,0.01585047,9.385036,3.05,26.85492
Needle SAT1 Hapto,SAT1,0.1508978,8.605813,2.813541,0.4029556,2.820459,4.11914,0.01587256,0.01500758,8.429649,2.8375,23.15748
Needle SAT1 Hapto,SAT1,0.1423228,8.840248,2.781156,0.3805617,2.783682,4.210903,0.01451322,0.01447524,8.656689,2.8575,24.49475
Needle SAT1 Hapto,SAT1,0.146819,9.914753,2.750674,0.3299784,2.79741,4.01317,0.01903243,0.01897324,9.746449,2.865,28.14004
Needle SAT1 Hapto,SAT1,0.1563984,10.13924,2.751116,0.3437528,2.470323,3.63416,0.0165734,0.01574491,9.943201,3.1,27.56388
Needle SAT1 Hapto,SAT1,0.1434445,9.723173,2.734733,0.3641025,2.839536,3.620005,0.01356723,0.0142723,9.487867,3.095,25.47966
Needle SAT1 Hapto,SAT1,0.162379,9.443461,2.882609,0.3641698,2.62533,4.109109,0.0153321,0.01539397,9.230636,2.88,25.88605
Needle SAT1 Hapto,SAT1,0.1892145,9.66624,2.861273,0.3494778,2.208979,4.284025,0.01652236,0.01574287,9.476052,2.835,27.72915
Needle SAT1 Hapto,SAT1,0.1549408,8.027967,2.831844,0.3901505,2.627134,4.817265,0.01589728,0.0155943,7.93518,2.5775,24.90167
Needle SAT1 Hapto,SAT1,0.1599366,9.306566,2.642817,0.3663801,2.490877,4.152953,0.0160403,0.01607354,9.13008,2.8625,26.6534
Needle SAT1 Hapto,SAT1,0.1725679,8.661517,2.500802,0.3914982,2.42618,3.59957,0.01371848,0.01381309,8.496925,3.1625,24.8811
Needle SAT1 Hapto,SAT1,0.1443908,9.049211,2.774907,0.3748469,2.69644,4.520151,0.01596801,0.01523611,8.862078,2.7225,25.86758
Needle SAT1 Hapto,SAT1,0.1569214,9.704611,2.739295,0.3789047,2.591894,3.551199,0.01743873,0.01585339,9.460866,3.105,24.86769
Needle SAT1 Hapto,SAT1,0.1514883,9.82157,2.67189,0.3522181,2.787087,3.76489,0.01689253,0.01707584,9.621144,2.995,26.63414
Needle SAT1 Hapto,SAT1,0.1517728,9.505465,2.514599,0.370316,2.786868,3.649013,0.01596257,0.01586855,9.323924,3.065,25.89668
Needle SAT1 Hapto,SAT1,0.1399141,9.913205,2.822258,0.3605517,2.763439,4.052151,0.01538423,0.01625523,9.63142,2.9125,26.51556
Needle SAT1 Hapto,SAT1,0.1461965,8.916374,2.49459,0.3711856,2.553753,3.822824,0.01580571,0.01568156,8.763271,3.025,26.18227
Needle SAT1 Hapto,SAT1,0.1635773,9.116275,2.787735,0.3585745,2.470212,4.542723,0.01639984,0.01720217,8.963682,2.7125,27.48716
Needle SAT1 Hapto,SAT1,0.1398035,8.52097,2.479849,0.3603135,2.681023,4.034188,0.01523353,0.01619363,8.4316,2.9675,26.91445
Needle SAT1 Hapto,SAT1,0.1589889,9.612509,2.517339,0.3672831,2.625695,3.763975,0.01699516,0.01701924,9.417665,2.98,25.97107
Needle SAT1 Hapto,SAT1,0.1788958,8.694849,2.741311,0.4030276,2.498303,3.828857,0.01466754,0.01469604,8.517215,2.97,23.78739
Needle SAT1 Hapto,SAT1,0.133022,8.938515,2.757094,0.3847713,2.789857,3.989535,0.01530215,0.01534294,8.751397,2.895,24.69624
Needle SAT1 Hapto,SAT1,0.1409377,9.006066,2.918218,0.3762914,2.865771,4.201536,0.01506507,0.01504183,8.841745,2.8,24.75762
Needle SAT1 Hapto,SAT1,0.1815032,8.549103,2.769707,0.3752631,2.494335,4.654162,0.01484789,0.01565217,8.407515,2.665,25.565
Needle SAT1 Hapto,SAT1,0.169505,9.700163,2.749114,0.3447965,2.442953,4.010029,0.01942829,0.01862167,9.525541,2.885,27.4586
Needle SAT1 Hapto,SAT1,0.1476015,8.782489,2.720108,0.3738846,2.649632,4.367777,0.01912961,0.01739055,8.651986,2.74,25.62028
Needle SAT1 Hapto,SAT1,0.1527497,9.560043,2.700133,0.3572234,2.643381,4.034423,0.01711403,0.01641536,9.36024,2.8925,26.39271
Needle SAT1 Hapto,SAT1,0.1531437,8.209038,2.755361,0.3750119,2.579761,4.495822,0.0153019,0.01605119,8.076749,2.7325,24.80204
Needle SAT1 Hapto,SAT1,0.1430799,10.03225,2.661616,0.337915,2.864162,3.635735,0.0187293,0.01702664,9.823789,3.08,27.36985
Needle SAT1 Hapto,SAT1,0.1546468,7.70354,2.53316,0.3750928,2.589684,4.543032,0.01583771,0.01583408,7.615206,2.75,25.24619
Needle SAT1 Hapto,SAT1,0.1328623,8.890426,2.764775,0.3692559,2.860055,3.9719,0.01479059,0.01414843,8.71514,2.9475,25.13979
Needle SAT1 Hapto,SAT1,0.1621479,7.572197,2.826106,0.3878713,2.55567,4.701482,0.01565445,0.01657503,7.501944,2.63,24.92151
Needle SAT1 Hapto,SAT1,0.1320979,9.643306,2.718505,0.3349704,2.615679,4.165546,0.01764707,0.01774087,9.487674,2.84,28.29399
Needle SAT1 Hapto,SAT1,0.1450494,9.654959,2.668736,0.3575374,2.958073,4.175941,0.01723615,0.01566924,9.435019,2.86,26.29717
Needle SAT1 Hapto,SAT1,0.1587102,9.444131,2.869296,0.3593762,2.65036,4.35206,0.01495008,0.01571341,9.22779,2.7775,26.39683
Needle SAT1 Hapto,SAT1,0.1799269,8.809255,2.859067,0.3879739,2.485398,4.337212,0.01583383,0.01495156,8.653142,2.7775,24.85245
Needle SAT1 Hapto,SAT1,0.1241262,8.829379,2.828525,0.378596,2.923544,4.41724,0.01499864,0.01586128,8.672135,2.72,24.23812
Needle SAT1 Hapto,SAT1,0.1424303,8.954273,2.757165,0.3830448,2.770154,4.017184,0.01496515,0.01516836,8.755208,2.925,24.08217
Needle SAT1 Hapto,SAT1,0.1397666,10.09824,2.917008,0.3525675,2.691905,4.162579,0.01678409,0.01668693,9.851658,2.83,26.66963
Needle SAT1 Hapto,SAT1,0.1486638,8.414115,2.87959,0.3429846,2.473012,4.970686,0.01645223,0.01644598,8.317524,2.5775,27.35959
Needle SAT1 Hapto,SAT1,0.1498596,9.76081,2.842213,0.3352043,2.71695,4.345117,0.01721794,0.01724614,9.590142,2.7675,28.65478
Needle SAT1 Hapto,SAT1,0.1487185,9.414544,2.680962,0.3516352,2.697604,3.953696,0.01507981,0.01675535,9.244308,2.935,26.52785
Needle SAT1 Hapto,SAT1,0.15715,8.856168,2.813678,0.3827719,2.840454,4.334415,0.01739569,0.01688765,8.700615,2.7525,25.38881
Needle SAT1 Hapto,SAT1,0.1782588,8.648615,2.620214,0.3737534,2.451595,4.041413,0.01499565,0.01581905,8.520078,2.935,25.48452
Needle SAT1 Hapto,SAT1,0.1548104,9.520022,2.689909,0.3670418,2.557512,4.12368,0.01645352,0.01572596,9.298959,2.865,25.66024
Needle SAT1 Hapto,SAT1,0.135716,9.350022,2.833501,0.3785034,2.825003,3.752873,0.01385483,0.01489136,9.098453,3.03,25.16389
Needle SAT1 Hapto,SAT1,0.1611118,8.222586,2.735869,0.379058,2.466372,4.20456,0.01409333,0.01484307,8.107064,2.9125,25.3186
Needle SAT1 Hapto,SAT1,0.1226234,8.579691,2.808459,0.3613807,3.056526,4.545139,0.01472652,0.0163628,8.435032,2.69,25.58019
Needle SAT1 Hapto,SAT1,0.1346421,10.22113,2.551787,0.3261178,3.076439,3.84527,0.01782909,0.01796654,10.04097,2.9675,28.38155
Needle SAT1 Hapto,SAT1,0.2010751,9.380288,2.723103,0.384734,2.283993,3.967978,0.01412712,0.01422047,9.163638,2.9625,25.61503
Needle SAT1 Hapto,SAT1,0.1525127,8.32316,2.630301,0.3878709,2.601854,3.997996,0.01509772,0.0144968,8.189163,2.9225,24.26609
Needle SAT1 Hapto,SAT1,0.1789222,9.91887,2.773843,0.3822486,2.270321,3.495365,0.01462618,0.01466457,9.626652,3.17,25.57669
Needle SAT1 Hapto,SAT1,0.1247431,9.863772,2.615131,0.3896161,2.993417,3.392549,0.01634631,0.01486028,9.500432,3.18,23.89245
Needle SAT1 Hapto,SAT1,0.1802053,9.630887,2.402415,0.3640762,2.472378,3.772449,0.01701861,0.01628738,9.473888,3.0175,26.58386
Needle SAT1 Hapto,SAT1,0.1694414,9.248561,2.633005,0.3663924,2.609389,3.973907,0.01616418,0.01618529,9.098613,2.905,26.62396
Needle SAT1 Hapto,SAT1,0.1374875,9.523933,2.794281,0.3448271,2.742249,4.27863,0.0149748,0.01589451,9.339048,2.82,27.42278
Needle SAT1 Hapto,SAT1,0.1600632,8.1439,2.80166,0.4093141,2.413132,4.294711,0.0147323,0.01544529,8.004392,2.7825,23.19388
Needle SAT1 Hapto,SAT1,0.1357677,8.538248,2.622051,0.4057651,2.937342,3.912965,0.01358927,0.01365974,8.319022,2.94,22.66838
Needle SAT1 Hapto,SAT1,0.1433153,10.23516,2.65902,0.3490853,2.786416,3.621761,0.01654028,0.01661272,10.01273,3.0725,27.42017
Needle SAT1 Hapto,SAT1,0.1725612,9.733405,2.702232,0.3661557,2.323854,3.909898,0.01512418,0.01518268,9.500767,2.9725,26.20722
Needle SAT1 Hapto,SAT1,0.1827834,9.495247,2.857988,0.3734925,2.266847,4.250281,0.01602925,0.01585401,9.281045,2.805,25.42454
Needle SAT1 Hapto,SAT1,0.1636813,9.810381,2.735389,0.3724178,2.520807,3.735047,0.01781312,0.01619375,9.570462,3,25.62741
Needle SAT1 Hapto,SAT1,0.1463904,9.265004,2.59042,0.3692428,2.574157,3.93814,0.01620343,0.01607724,9.098467,2.9225,25.53273
Needle SAT1 Hapto,SAT1,0.1759842,9.949483,2.675202,0.3634655,2.400913,3.522979,0.01456337,0.01513693,9.715689,3.165,25.83666
Needle SAT1 Hapto,SAT1,0.165228,9.95518,2.581347,0.345039,2.608397,3.774663,0.01700762,0.01684656,9.767067,3.0025,27.23626
Needle SAT1 Hapto,SAT1,0.1657421,9.001565,2.815104,0.353573,2.492021,4.255331,0.01559458,0.01543859,8.88241,2.81,26.99789
Needle SAT1 Hapto,SAT1,0.1532241,9.601281,2.699781,0.3434496,2.555839,3.703141,0.01479454,0.01556518,9.436955,3.095,27.45169
Needle SAT1 Hapto,SAT1,0.13242,10.1047,2.601085,0.36164,2.843572,3.64158,0.01672035,0.0159281,9.851871,3.0475,25.74491
Needle SAT1 Hapto,SAT1,0.1459609,9.421679,2.543595,0.3535948,2.625491,3.954089,0.01542245,0.01550443,9.264801,2.96,26.87636
Needle SAT1 Hapto,SAT1,0.1680721,9.459933,2.711271,0.3423505,2.49526,4.226597,0.0162222,0.0163201,9.31383,2.865,27.9905
Needle SAT1 Hapto,SAT1,0.1614438,8.939482,2.866877,0.3551156,2.560064,4.174213,0.01801671,0.01707904,8.811495,2.8425,26.97074
Needle SAT1 Hapto,SAT1,0.1527292,9.714172,2.657154,0.3718864,2.756241,3.689628,0.01521908,0.01521626,9.486362,3.035,25.93178
Needle SAT1 Hapto,SAT1,0.152591,9.406294,2.948626,0.3749517,2.718708,4.110605,0.01573249,0.015845,9.16922,2.8625,24.89234
Needle SAT1 Hapto,SAT1,0.1924656,9.367226,2.646913,0.3752129,2.366542,3.762105,0.01444429,0.01519301,9.154771,3.0525,25.62442
Needle SAT1 Hapto,SAT1,0.1541359,9.189457,2.677754,0.3705506,2.785679,4.151961,0.01484655,0.01497799,9.004619,2.85,25.57387
Needle SAT1 Hapto,SAT1,0.1919408,8.976087,2.844834,0.3709572,2.235187,4.475708,0.01546645,0.01563309,8.842838,2.7125,25.99218
Needle SAT1 Hapto,SAT1,0.1532914,9.660388,2.655629,0.3369066,2.504998,4.114216,0.0170952,0.01715515,9.493177,2.88,28.18031
Needle SAT1 Hapto,SAT1,0.1363627,9.195329,2.868049,0.3373633,2.776522,4.641158,0.01758206,0.01741358,9.028745,2.665,27.71016
Needle SAT1 Hapto,SAT1,0.1362842,9.920535,2.64556,0.3571287,2.965031,3.610291,0.01678836,0.01526215,9.652884,3.085,26.01632
Needle SAT1 Hapto,SAT1,0.1377683,9.227331,2.534182,0.3498456,2.771967,4.303122,0.01656168,0.01654976,9.057859,2.82,26.78995
Needle SAT1 Hapto,SAT1,0.1641177,9.054317,2.680547,0.3877659,2.595721,3.805549,0.01397564,0.01469754,8.868781,2.9775,24.06077
Needle SAT1 Hapto,SAT1,0.1749899,9.281653,2.81279,0.3751632,2.328178,4.196583,0.01408938,0.01560772,9.0795,2.8525,25.27299
Needle SAT1 Hapto,SAT1,0.1693588,10.18779,2.716563,0.3601029,2.41904,3.533853,0.01575339,0.01497036,9.920559,3.15,26.52164
Needle SAT1 Hapto,SAT1,0.1381576,10.06529,2.873143,0.3454458,2.767731,4.142972,0.01809408,0.01644916,9.847432,2.855,27.76953
Needle SAT1 Hapto,SAT1,0.1423023,8.368182,2.921519,0.3721147,2.859616,4.592903,0.01516032,0.01514006,8.244078,2.685,25.48751
Needle SAT1 Hapto,SAT1,0.1525602,9.785185,2.721073,0.3551906,2.723114,3.706195,0.0173988,0.01659186,9.591235,3.02,26.3782
Needle SAT1 Hapto,SAT1,0.1702361,9.2886,2.843135,0.3706039,2.483835,3.879693,0.0147646,0.01548799,9.123449,2.9425,25.86672
Needle SAT1 Hapto,SAT1,0.1694309,10.63841,2.728446,0.3252929,2.49677,3.745837,0.01718108,0.01709611,10.44626,3.04,29.73065
Needle SAT1 Hapto,SAT1,0.1399086,9.476346,2.732356,0.3492718,2.863095,3.931077,0.01597905,0.01585069,9.297695,2.9575,26.82033
Needle SAT1 Hapto,SAT1,0.150484,9.467252,2.488934,0.3674602,2.798519,3.703244,0.01620679,0.0152698,9.281905,3.055,25.31894
