Group,Method,ID,lam,k,d,r,K,theta,delt,a,b,I0,P0,A0,peakViral,TimePeak,CumViral,ViremaTime
SAT1 ,Contact,2,2.69530202344035,0.002465911703122,0.744043654557004,5.33336931947998,9.71552691941727,0.531956522655105,1.44885795571756,8.2E-06,0.200830671292305,3.46654639793087,0.007145090406112,0.004535092052719,6.12034316386725,3.54,326.330008287642,11.27
SAT1 ,Contact,4,2.3315325008611,0.454043847389418,0.97607442370633,5.79875095784449,9.76454191014019,0.685093446804353,1.60142200304683,1.91E-05,0.302827337438547,2.62736634412087,0.001375797647773,0.000477434156245,5.93843109797213,3.09,287.523447531983,10.57
SAT1 ,Contact,19,2.87876693177022,0.312815735111048,0.999999999999978,5.00000000000061,8.0000000006198,0.360871870910958,1.56547994836876,2.86E-14,0.25121941965437,1.83488731742171,0.004199790663587,0.003208805217676,5.92545424811402,2.93,276.007799465687,10.07
SAT1 ,Contact,33,1.536226041903,0.308904587113256,0.61502145996573,6.87576459379834,9.87747532973272,0.29523098899122,2.6285845649513,5.99E-05,0.277407042374496,2.91685313294845,4.25E-05,0.000201328318079,8.46231013068473,2.94,325.537353044737,8.56
SAT2 ,Contact,5,1.60873209467367,0.50090159174799,0.592021716959092,9.13735623687371,9.92335398518383,1.63297166392418,1.66364126221254,0.000148844136063,0.978532733123679,1.91180214903683,0.000102288913727,1.15E-05,3.96331961938537,2.54,103.499488688882,7.46
SAT2 ,Contact,9,1.7838552589603,0.417132924689548,0.821558287157747,6.15198593614771,9.78406827982561,0.90351841410892,1.69623310921073,3.41E-07,0.432345136043209,1.37683002393506,1.08E-05,9.35E-05,5.64471204186347,3.9,240.517084250211,10.33
SAT2 ,Contact,22,1.17754210007554,0.134347941735762,0.523470583734524,5.50044432020135,9.77439787263329,1.07799668849039,1.64696577784478,0.00337620060338,0.307464586572113,3.16629601922004,0.000218482270062,5.15E-08,4.54871110937161,5.15,186.464084891151,11.34
SAT2 ,Contact,29,1.36583614244107,0.811111219424358,0.769464861362653,8.28167038699597,9.60113165769712,1.85409821160616,1.68609688330952,0.018268348173558,0.544831091633851,4.50477853711628,8.6E-05,0.002930046166847,3.14492386357259,3.98,87.3441985443284,7.58
SAT3 ,Contact,12,1.10548040414905,0.088476291142776,0.731445018969143,5.02269454146277,9.57950627189234,1.38030015297007,1.44462573429927,0.000132232044927,0.305064362041684,7.33070013801378,0.230205697998218,2.02E-06,5.0751383023577,7.34,304.151898813677,13.97
SAT3 ,Contact,15,1.91410048874034,0.038803167054931,0.971832177392886,5.03438635050945,9.62739369044988,1.55877907568945,1.149207608969,7.61E-05,0.217131667837718,4.41219868173142,1.8E-07,0.000111419312881,3.565130604221,13.66,406.044961983662,27.06
SAT3 ,Contact,16,1.00038200042812,0.00367087992768,0.508505123347275,5.00003204172905,9.99825561004504,0.986364273905158,2.10484859554742,5.42E-05,0.485123101546473,5.6405986900121,0.012068978782007,3.04E-06,5.65223405479636,6.31,214.916569866536,9.88
SAT3 ,Contact,17,1.36754885101596,0.309637845649238,0.667999274850501,5.8326628620226,9.89481748941728,0.770854671472788,1.85069035622661,0.000489587982275,0.296744725414262,4.35596140993982,0.000241823869913,6.81E-05,6.03703535443168,4.11,259.408066375231,10.57
SAT1 ,Needle,7,2.13044938367967,0.625862456475187,0.994041000547152,6.02823000569046,8.00000000171027,0.033626087053434,2.59661141419329,1.49E-06,0.180501209058177,1.59550787737857,0.075742708026396,0.002195492880592,7.8225372512895,1.86,396.34752110536,9.69
SAT1 ,Needle,10,2.3558698148764,0.677243361645742,0.999999983389007,5.00000000346956,9.99479295784499,0.002203611163388,2.59934175225269,0.005709231286949,0.19993555588277,0.162183787224829,0.001353730197971,0.004884345979797,9.43948190455877,2.59,232.691306147428,7.07
SAT1 ,Needle,11,1.26871848033593,0.502254728701075,0.590256763045241,5.00000053950517,9.86370883298133,0.100458910986122,2.41887759325155,3.66E-05,0.210803156022636,2.42235850143077,0.001686491563761,0.023600379696288,8.63504662777383,2.66,223.945292509539,7.36
SAT1 ,Needle,13,1.54472760132486,0.490554203305034,0.769575303306018,5.10745877324578,9.16999107012635,0.345182186256889,1.90113615720745,1.3E-06,0.265324527901638,3.71703805025255,0.057261244596838,0.000512217601023,6.88753579772623,2.43,325.770739263101,9.28
SAT2 ,Needle,8,1.75779088806287,0.587755937127429,0.762110809215869,7.60753646815308,9.96382239688111,0.871013898736693,1.96520688307131,0.000240164910452,0.413442011526773,1.61718942702449,0.019266413559741,4.58E-06,6.55454204383725,1.62,214.767326685364,7.63
SAT2 ,Needle,20,2.5538222067252,0.447145618591031,0.99997145891588,6.06446408155273,9.10747597958417,0.439440233127319,1.87075030735526,5.9E-07,0.195988837514634,0.268295005637331,0.050606649544497,0.003040399379035,7.30210322063412,1.68,353.385424019503,10.28
SAT2 ,Needle,28,1.38210074715712,0.942839449784788,0.999991598649239,13.9136929581294,8.01643410622204,1.34457761542582,3.21128908390787,0.027041667893957,0.072998381858449,1.86915137569515,0.089394842926681,5.28E-06,6.12855230531359,0.76,368.010858189434,18.64
SAT2 ,Needle,32,3.16023541025529,0.268493883330675,0.999426105852167,5.0564063564276,8.00050230893136,0.361806651388101,1.53511730174047,2.08E-06,0.291639207126062,0.441846293729082,0.035986869828225,0.000210310805513,6.07850749912108,2.17,332.155599251339,10.02
SAT3 ,Needle,26,2.27033630148931,0.584870382617524,0.924530817127137,10.8634776601622,9.99057268730723,0.784749426855171,3.30685779594695,4.96E-07,0.258026559381454,1.08441992033325,0.017576866774653,0.004302682903913,8.1394972719949,1.11,252.293292753457,7.39
SAT3 ,Needle,27,2.86672415914581,0.424664786298174,0.999756749634516,5.00000057382705,8.54242855983491,0.410162041780925,2.22217767939366,6.41E-06,0.55448870472052,0.216300118919433,0.006753579373087,4.26E-05,6.08770230734166,2.57,197.480085131361,6.78
SAT3 ,Needle,34,1.95128339424821,0.754700115626161,0.910962673258646,5.00023715191311,8.94806103235676,0.57743391862526,1.55548774050164,0.000616462042781,0.44813873898126,0.516135464549136,0.008237698116467,2.79E-06,5.6514468760737,2.38,178.250436053531,7.94
SAT3 ,Needle,35,1.74012668300553,0.542891176289719,0.748567911873634,5.58696195673637,9.219488268371,0.595357700133202,1.65538041470756,0.00016968584491,0.414542415463536,2.53569459061413,0.073302990043414,0.000503345323866,5.65669662415939,2,198.016128410104,7.67
