"ID","k","K","delta","b","r","nu","I0","A0","P0","vmax","tmax","cumviral","start"
"SAT1",0.227566,8.3959,1.6234,0.0892816,4.27645,6.30309,3.70748,0.201637,0.00826622,7.23874,3.08175,33.7748,0.29675
"SAT1",0.225694,9.6427,1.92453,0.0846441,4.79192,5.99878,3.17207,0.194186,0.00841243,8.12813,3.2565,33.6375,0.6565
"SAT1",0.274314,9.09839,1.59362,0.101485,3.9095,6.87465,3.55284,0.181637,0.00848164,7.68541,3.30375,31.5286,0.25375
"SAT1",0.304416,9.3681,1.73427,0.0843121,4.6355,8.00681,3.57803,0.199167,0.00843183,8.04521,3.00515,34.8774,0.41515
"SAT1",0.265436,6.99569,1.74528,0.101229,4.70648,5.89771,3.70686,0.179378,0.00793999,6.22641,2.86963,29.5788,0.364625
"SAT1",0.310269,8.67149,1.78713,0.108734,4.1952,7.72892,3.3025,0.203277,0.00891017,7.26602,3.0735,29.3893,0.2985
"SAT1",0.253175,9.04903,1.84974,0.100817,4.7235,8.03754,3.32776,0.189314,0.00810176,7.76541,2.97395,31.7697,0.34645
"SAT1",0.417106,9.17659,1.62556,0.0954476,4.20711,9.69247,3.37212,0.237057,0.00800575,7.51453,3.29875,29.2417,0.50625
"SAT1",0.334396,7.44081,1.64192,0.106072,4.43007,6.08544,3.33391,0.211524,0.00697492,6.29071,3.24405,28.2469,0.39405
"SAT1",0.287409,9.03352,1.30848,0.110188,3.61592,7.4303,3.14704,0.170777,0.00689412,7.59825,3.619,29.9416,0.354
"SAT1",0.308604,8.10787,1.36156,0.102729,3.67367,5.6377,3.31077,0.156088,0.00849768,7.03112,3.30322,32.0308,0.183225
"SAT1",0.382995,8.34002,1.64651,0.109913,4.01301,5.85959,2.81647,0.178519,0.00772469,6.9187,3.45525,27.4577,0.46275
"SAT1",0.349409,7.6034,1.81541,0.120392,4.75291,7.4025,3.54933,0.16161,0.00816688,6.63874,2.93,27.9897,0.445
"SAT1",0.331009,8.21326,1.66705,0.104814,4.04633,6.24551,2.84804,0.192955,0.00874584,6.83721,3.02672,28.9609,0.181725
"SAT1",0.33582,8.27899,1.43565,0.10372,3.8121,5.12142,2.59664,0.153401,0.00753088,7.12481,3.27487,31.7488,0.192375
"SAT1",0.280301,8.21772,1.4077,0.103501,3.93041,6.70295,3.14217,0.170863,0.00874331,7.25856,3.08788,32.4161,0.137875
"SAT1",0.21727,7.11342,1.56757,0.106635,4.35183,4.83067,3.24336,0.184932,0.00896655,6.2463,3.05025,29.6402,0.36775
"SAT1",0.25597,8.41055,1.82011,0.0850303,4.78654,7.3485,3.82029,0.280227,0.00736088,6.9387,3.0385,31.6837,0.441
"SAT1",0.238321,8.30945,1.54571,0.0959316,5.11368,6.77158,3.56085,0.202773,0.0077152,7.43826,2.93925,33.9735,0.43925
"SAT1",0.24598,9.17793,1.66237,0.0970228,4.46199,8.63617,3.98467,0.184354,0.00753471,7.76779,3.46675,31.8659,0.61425
"SAT1",0.26945,8.60614,1.53105,0.0997023,4.20181,7.47057,3.7139,0.164504,0.00819662,7.55746,3.1358,33.3399,0.2408
"SAT1",0.284498,8.80784,1.76204,0.0953331,4.45649,6.67643,3.4115,0.167069,0.00891351,7.66741,3.12775,34.0678,0.46525
"SAT1",0.290331,7.75586,1.54367,0.101452,4.41298,6.52661,3.4996,0.172841,0.00842094,6.74137,3.1655,30.6792,0.348
"SAT1",0.316971,8.16107,1.57115,0.0965289,4.27103,6.30056,2.86898,0.191909,0.00804574,7.08439,3.07775,32.7721,0.29775
"SAT1",0.312853,9.45379,1.60754,0.0991595,3.86737,9.3968,3.68936,0.159345,0.00752188,8.1195,3.28887,31.9739,0.263875
"SAT1",0.328322,8.54062,1.76088,0.102278,4.63075,7.54175,3.30129,0.168856,0.00844981,7.19704,3.36225,30.9129,0.62475
"SAT1",0.309646,8.57948,1.38328,0.0913006,3.93484,6.88594,3.13414,0.219614,0.00771402,7.28378,3.11635,33.3506,0.12885
"SAT1",0.328293,8.56746,1.77164,0.104097,4.45561,6.35097,3.15709,0.224855,0.00767186,7.07473,3.05662,27.8533,0.284125
"SAT1",0.266318,7.95267,1.4787,0.110214,4.13301,6.65161,3.43224,0.167872,0.00819657,6.93381,3.17975,29.5183,0.33225
"SAT1",0.264907,9.55509,1.8386,0.10786,3.86561,6.9774,3.40404,0.146525,0.00825083,7.99832,3.3296,28.6255,0.4096
"SAT1",0.221373,8.06837,1.77274,0.0987615,4.6029,6.32493,3.77854,0.20836,0.00856643,6.94949,2.95375,30.9169,0.34625
"SAT1",0.294245,8.32033,1.49439,0.102922,3.8772,6.08773,3.09059,0.277676,0.00844358,6.78789,3.31173,29.6654,0.269225
"SAT1",0.297322,7.56017,1.31174,0.104762,3.79418,6.76321,3.05249,0.131385,0.00853182,6.80932,3.156,33.7356,0.121
"SAT1",0.208047,9.06153,1.58087,0.0945015,4.40951,4.35917,3.43491,0.155719,0.00815573,7.98157,2.94977,34.2787,0.239775
"SAT1",0.306592,8.85296,1.56264,0.101739,4.17418,6.74009,2.95442,0.204489,0.0074711,7.27602,3.4545,28.8637,0.482
"SAT1",0.386504,8.2071,1.53349,0.103257,4.031,9.52859,3.23575,0.153901,0.00850352,7.20403,3.1429,32.3178,0.2729
"SAT1",0.400274,9.25578,1.63407,0.0965489,4.2189,8.75021,2.81675,0.182361,0.00908699,7.85378,3.2615,32.4378,0.429
"SAT1",0.329506,8.7448,1.91738,0.122822,4.6787,6.76626,3.57054,0.174178,0.00758273,6.87719,3.28775,25.6107,0.57525
"SAT1",0.274478,9.11625,1.60105,0.0993504,3.81276,8.1942,3.2778,0.140344,0.00860423,7.93841,3.19877,33.3534,0.183775
"SAT1",0.251708,7.34047,1.83911,0.100286,5.56804,5.12897,3.55037,0.213248,0.00867314,6.53276,2.71475,29.7245,0.50725
"SAT1",0.41526,8.56809,1.64782,0.102154,4.14349,5.59999,2.57993,0.180147,0.00835146,7.39341,3.1165,29.9418,0.3215
"SAT1",0.29268,8.57194,1.6145,0.100052,4.02716,6.70229,3.47855,0.17405,0.00809528,7.36076,3.3305,31.3413,0.4155
"SAT1",0.282255,7.95333,1.51893,0.0981531,4.21757,5.1893,3.29091,0.21839,0.00698567,6.68188,3.18775,30.6477,0.34275
"SAT1",0.224455,9.75,1.41023,0.0985883,4.06304,5.82814,3.31554,0.219103,0.00901447,7.96824,3.628,31.3232,0.688
"SAT1",0.235761,7.7734,1.84925,0.096616,5.14978,6.48211,3.51121,0.24251,0.00942161,6.64757,3.04725,30.9919,0.47475
"SAT1",0.333051,7.53354,1.88817,0.106552,5.32749,4.97175,2.94815,0.246615,0.00832939,6.28634,2.7815,28.6999,0.474
"SAT1",0.306925,8.00777,2.1247,0.0945924,5.27605,7.96205,3.82095,0.206689,0.00826378,6.96006,2.8465,30.21,0.559
"SAT1",0.334703,6.13598,1.39899,0.128707,4.27832,8.14948,3.25225,0.17222,0.00708356,5.37073,2.95075,25.8456,0.21075
"SAT1",0.247019,7.55643,1.81955,0.107396,4.60468,8.00039,3.2026,0.133016,0.00817234,6.79391,2.92535,31.8644,0.24785
"SAT1",0.275414,7.16912,1.51254,0.11066,4.20068,3.62714,2.87503,0.196073,0.0075971,6.15713,3.0899,28.3594,0.2249
"SAT1",0.326298,9.2319,1.63306,0.09221,4.10005,5.2635,2.97913,0.264789,0.00711748,7.21834,3.381,28.5066,0.4085
"SAT1",0.253535,8.66561,1.71514,0.0934604,4.41523,6.74827,3.38555,0.148739,0.00655534,7.67672,3.0485,34.6238,0.251
"SAT1",0.294678,9.70952,1.61921,0.0990294,4.18906,6.1436,3.12472,0.178621,0.00697712,8.15547,3.28408,32.0812,0.349078
"SAT1",0.29776,9.39302,1.89557,0.10902,4.71221,8.29304,4.03248,0.156454,0.00865186,8.0418,2.97595,30.7298,0.38845
"SAT1",0.169829,8.23037,1.48481,0.103432,4.31867,5.4014,3.58178,0.157952,0.0086046,7.26607,3.10978,31.7386,0.339775
"SAT1",0.265385,9.23187,1.81899,0.0978551,4.44968,5.27824,3.39838,0.158132,0.00708899,7.93277,3.19247,33.025,0.377475
"SAT1",0.241631,7.93541,1.34725,0.0971115,3.56389,5.05187,2.95783,0.161831,0.00839889,7.04841,3.30067,33.7797,0.0831675
"SAT1",0.329926,9.23906,1.54369,0.0957012,3.99169,8.63796,3.24269,0.195757,0.00858421,7.81912,3.10245,31.6121,0.18245
"SAT1",0.264687,8.457,1.39571,0.112211,3.69539,5.28292,3.82189,0.211505,0.00766196,6.95368,3.6225,28.1784,0.4775
"SAT1",0.338471,9.44945,1.31012,0.0955111,3.51436,6.74484,2.8792,0.168702,0.00810666,7.98439,3.5385,33.0567,0.2985
"SAT1",0.327977,6.94384,1.54631,0.11114,4.21204,8.44948,3.7153,0.195921,0.00661443,6.07531,3.13017,28.9528,0.297675
"SAT1",0.272938,7.76751,1.86658,0.115793,4.38997,7.27706,3.61497,0.135028,0.0096988,6.87102,2.9799,28.7387,0.287398
"SAT1",0.274705,8.66454,1.8487,0.0955487,4.72308,5.85086,2.99697,0.147263,0.00797567,7.51915,3.16925,34.4249,0.52675
"SAT1",0.372435,8.93417,1.8069,0.0945359,4.25219,8.64703,3.33549,0.157284,0.00806485,7.74106,3.24475,33.0266,0.41725
"SAT1",0.283761,9.12218,1.83783,0.0892234,4.69536,8.14186,3.52106,0.179688,0.00802051,8.03957,2.9755,36.0203,0.428
"SAT1",0.267222,9.68941,1.77084,0.0987207,4.09092,7.12334,3.50108,0.188144,0.00819631,7.68934,3.57702,29.8236,0.449525
"SAT1",0.27554,9.28413,1.23008,0.101519,3.74724,6.81544,3.44857,0.156191,0.008668,8.24407,3.2787,36.9216,0.1687
"SAT1",0.291709,7.26613,1.6044,0.104555,4.52932,6.35145,2.97446,0.198565,0.00804503,6.38987,3.0256,29.6593,0.2931
"SAT1",0.306283,7.3138,1.5118,0.116703,4.14632,5.86362,3.11792,0.20155,0.00728756,5.91081,3.4005,26.4653,0.388
"SAT1",0.24072,9.10154,1.62051,0.0836106,4.23652,4.03163,3.12339,0.219614,0.00782743,7.62399,3.10953,33.962,0.242025
"SAT1",0.236413,8.14778,1.41702,0.101167,4.15829,5.16874,3.5119,0.162684,0.00684565,7.19368,3.1647,31.918,0.2572
"SAT1",0.336385,7.86242,1.71607,0.119223,4.91463,6.32069,2.98522,0.181136,0.00753677,6.74029,2.9474,29.7164,0.4199
"SAT1",0.226073,7.91707,1.53737,0.0977817,4.08591,5.09611,3.58957,0.184747,0.00798584,6.8231,3.1985,30.8998,0.296
